Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
3309,Hoffmann-La Roche,INDUSTRY,SPONSOR,A Study of Herceptin (Trastuzumab) in Patients With Metastatic or Advanced Gastric Cancer With Disease Progression,An Open-label Pilot Study of Herceptin Monotherapy on Objective Treatment Response in Patients With Metastatic or Locally Advanced Gastric Cancer Who Had Disease Progression During Platinum-based or 5-fluoropyrimidine-based Chemotherapy,TERMINATED,2004-01,ADULT OLDER_ADULT,Gastric Cancer,TREATMENT,Trastuzumab,"4 mg/kg initial dose, followed by 2 mg/kg",INTERVENTIONAL,PHASE2,Percentage of Participants With a Response by Response Evaluation Criteria In Solid Tumors (RECIST) Category,Stomach Neoplasms Disease Progression,PHASE2,trastuzumab,UNKNOWN,0
3309,Hoffmann-La Roche,INDUSTRY,SPONSOR,A Study of Herceptin (Trastuzumab) in Patients With Metastatic or Advanced Gastric Cancer With Disease Progression,An Open-label Pilot Study of Herceptin Monotherapy on Objective Treatment Response in Patients With Metastatic or Locally Advanced Gastric Cancer Who Had Disease Progression During Platinum-based or 5-fluoropyrimidine-based Chemotherapy,TERMINATED,2004-01,ADULT OLDER_ADULT,Gastric Cancer,TREATMENT,Trastuzumab,"4 mg/kg initial dose, followed by 2 mg/kg",INTERVENTIONAL,PHASE2,Percentage of Participants With a Response by Response Evaluation Criteria In Solid Tumors (RECIST) Category,Stomach Neoplasms Disease Progression,PHASE2,trastuzumab,COMPLETED,1
3309,Hoffmann-La Roche,INDUSTRY,SPONSOR,A Study of Herceptin (Trastuzumab) in Patients With Metastatic or Advanced Gastric Cancer With Disease Progression,An Open-label Pilot Study of Herceptin Monotherapy on Objective Treatment Response in Patients With Metastatic or Locally Advanced Gastric Cancer Who Had Disease Progression During Platinum-based or 5-fluoropyrimidine-based Chemotherapy,TERMINATED,2004-01,ADULT OLDER_ADULT,Gastric Cancer,TREATMENT,Trastuzumab,"4 mg/kg initial dose, followed by 2 mg/kg",INTERVENTIONAL,PHASE2,Percentage of Participants With a Response by Response Evaluation Criteria In Solid Tumors (RECIST) Category,Stomach Neoplasms Disease Progression,PHASE2,trastuzumab,COMPLETED,1
3309,Hoffmann-La Roche,INDUSTRY,SPONSOR,A Study of Herceptin (Trastuzumab) in Patients With Metastatic or Advanced Gastric Cancer With Disease Progression,An Open-label Pilot Study of Herceptin Monotherapy on Objective Treatment Response in Patients With Metastatic or Locally Advanced Gastric Cancer Who Had Disease Progression During Platinum-based or 5-fluoropyrimidine-based Chemotherapy,TERMINATED,2004-01,ADULT OLDER_ADULT,Gastric Cancer,TREATMENT,Trastuzumab,"4 mg/kg initial dose, followed by 2 mg/kg",INTERVENTIONAL,PHASE2,Percentage of Participants With a Response by Response Evaluation Criteria In Solid Tumors (RECIST) Category,Stomach Neoplasms Disease Progression,PHASE2,trastuzumab,COMPLETED,1
3309,Hoffmann-La Roche,INDUSTRY,SPONSOR,A Study of Herceptin (Trastuzumab) in Patients With Metastatic or Advanced Gastric Cancer With Disease Progression,An Open-label Pilot Study of Herceptin Monotherapy on Objective Treatment Response in Patients With Metastatic or Locally Advanced Gastric Cancer Who Had Disease Progression During Platinum-based or 5-fluoropyrimidine-based Chemotherapy,TERMINATED,2004-01,ADULT OLDER_ADULT,Gastric Cancer,TREATMENT,Trastuzumab,"4 mg/kg initial dose, followed by 2 mg/kg",INTERVENTIONAL,PHASE2,Percentage of Participants With a Response by Response Evaluation Criteria In Solid Tumors (RECIST) Category,Stomach Neoplasms Disease Progression,PHASE2,trastuzumab,COMPLETED,1
3377,Fred Hutchinson Cancer Center,OTHER,SPONSOR,Lenalidomide in Treating Patients With Progressive or Recurrent Multiple Myeloma After a Donor Stem Cell Transplant,A Phase II Study of Lenalidomide Following Allogeneic Stem Cell Transplant for Multiple Myeloma Patients Who Relapse or Have Disease Progression,COMPLETED,2008-02,ADULT OLDER_ADULT,"Refractory Multiple Myeloma, Stage I Multiple Myeloma, Stage II Multiple Myeloma, Stage III Multiple Myeloma",TREATMENT,lenalidomide,Given PO,INTERVENTIONAL,PHASE2,"Response Rate, Defined as the Number of Patients Achieving Complete Response (CR), Partial Response (PR), or Minor Response (MR)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,lenalidomide,WITHDRAWN,0
3377,Fred Hutchinson Cancer Center,OTHER,SPONSOR,Lenalidomide in Treating Patients With Progressive or Recurrent Multiple Myeloma After a Donor Stem Cell Transplant,A Phase II Study of Lenalidomide Following Allogeneic Stem Cell Transplant for Multiple Myeloma Patients Who Relapse or Have Disease Progression,COMPLETED,2008-02,ADULT OLDER_ADULT,"Refractory Multiple Myeloma, Stage I Multiple Myeloma, Stage II Multiple Myeloma, Stage III Multiple Myeloma",TREATMENT,lenalidomide,Given PO,INTERVENTIONAL,PHASE2,"Response Rate, Defined as the Number of Patients Achieving Complete Response (CR), Partial Response (PR), or Minor Response (MR)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,lenalidomide,COMPLETED,1
3379,IRCCS San Raffaele,OTHER,PRINCIPAL_INVESTIGATOR,"Gemcitabine or Combination Chemotherapy Followed by Chemoradiation for Stage IB, II, or III Pancreatic Cancer",Randomized Phase II-III Trial of Post-operative Treatment of Pancreatic Adenocarcinoma: Gemcitabine Versus PEFG Followed by Radiochemotherapy With Concomitant Continuous Infusion of 5-fluorouracil,COMPLETED,2003-06,ADULT OLDER_ADULT,Pancreatic Cancer,TREATMENT,"capecitabine, cisplatin, epirubicin hydrochloride, fluorouracil, gemcitabine hydrochloride","Given orally, Given IV, Given IV, Given IV, Given IV",INTERVENTIONAL,"PHASE2, PHASE3",1-year progression-free survival (Phase II),Pancreatic Neoplasms,"PHASE2, PHASE3","capecitabine, cisplatin, epirubicin hydrochloride, fluorouracil, gemcitabine hydrochloride",COMPLETED,1
3578,Ottawa Hospital Research Institute,OTHER,SPONSOR,Feasibility Study of Presurgical Hormone Therapy (Anastrozole) in Breast Cancer Patients,The NEO (NEOADJUVANT ENDOCRINE OUTCOMES) TRIAL: Neoadjuvant Endocrine Therapy for Primary Breast Cancer: Investigation of Clinical and Translational Outcomes,COMPLETED,2012-10,ADULT OLDER_ADULT,Breast Cancer,TREATMENT,Anastrozole,Participants will be instructed to take one tablet of anastrozole orally per day with fluids. This tablet will be taken at the same time every day. Participants will be given a drug diary to record drug administration and aid in drug compliance. Should the participant miss a dose they will be asked to record it in their diary and resume the normal dose schedule the next day.,INTERVENTIONAL,PHASE2,Percentage of patients who fit the eligibility criteria that consent to the study; withdraw after consent from the study.,Breast Neoplasms,PHASE2,anastrozole,COMPLETED,1
3578,Ottawa Hospital Research Institute,OTHER,SPONSOR,Feasibility Study of Presurgical Hormone Therapy (Anastrozole) in Breast Cancer Patients,The NEO (NEOADJUVANT ENDOCRINE OUTCOMES) TRIAL: Neoadjuvant Endocrine Therapy for Primary Breast Cancer: Investigation of Clinical and Translational Outcomes,COMPLETED,2012-10,ADULT OLDER_ADULT,Breast Cancer,TREATMENT,Anastrozole,Participants will be instructed to take one tablet of anastrozole orally per day with fluids. This tablet will be taken at the same time every day. Participants will be given a drug diary to record drug administration and aid in drug compliance. Should the participant miss a dose they will be asked to record it in their diary and resume the normal dose schedule the next day.,INTERVENTIONAL,PHASE2,Percentage of patients who fit the eligibility criteria that consent to the study; withdraw after consent from the study.,Breast Neoplasms,PHASE2,anastrozole,COMPLETED,1
3578,Ottawa Hospital Research Institute,OTHER,SPONSOR,Feasibility Study of Presurgical Hormone Therapy (Anastrozole) in Breast Cancer Patients,The NEO (NEOADJUVANT ENDOCRINE OUTCOMES) TRIAL: Neoadjuvant Endocrine Therapy for Primary Breast Cancer: Investigation of Clinical and Translational Outcomes,COMPLETED,2012-10,ADULT OLDER_ADULT,Breast Cancer,TREATMENT,Anastrozole,Participants will be instructed to take one tablet of anastrozole orally per day with fluids. This tablet will be taken at the same time every day. Participants will be given a drug diary to record drug administration and aid in drug compliance. Should the participant miss a dose they will be asked to record it in their diary and resume the normal dose schedule the next day.,INTERVENTIONAL,PHASE2,Percentage of patients who fit the eligibility criteria that consent to the study; withdraw after consent from the study.,Breast Neoplasms,PHASE2,anastrozole,COMPLETED,1
4469,Peking University,OTHER,PRINCIPAL_INVESTIGATOR,Study of Nimotuzumab to Treat Esophageal Squamous Cell Carcinoma.,Phase IIa Study of Nimotuzumab in Second or Late- Line Treatment of Patients With Locally Advanced or Metastatic Esophageal Squamous Cell Carcinomas,UNKNOWN,2013-08,ADULT OLDER_ADULT,Esophageal Squamous Cell Cancer,TREATMENT,nimotuzumab,Unknown,INTERVENTIONAL,"PHASE1, PHASE2",Objective response rate,"Carcinoma, Squamous Cell Esophageal Squamous Cell Carcinoma Neoplasms, Squamous Cell","PHASE1, PHASE2",nimotuzumab,COMPLETED,1
5018,Bio-Thera Solutions,INDUSTRY,SPONSOR,BAT1308 Combined With Platinum-Based Chemotherapy± Bevacizumab For PDL1-Positive (CPS ≥1) Cervical Cancer,"A Phase II/III Study to Evaluate the Safety and Efficacy of BAT1308 Combined With Platinum-Based Chemotherapy ± Bevacizumab as First-Line Therapy For PD-L1-Positive (CPS ≥ 1) Persistent, Recurrent or Metastatic Cervical Cancer",NOT_YET_RECRUITING,2023-11,ADULT OLDER_ADULT,Cervical Cancer,TREATMENT,"Recombinant humanized anti-PD-1 monoclonal antibody injection, Cisplatin, Bevacizumab Injection, carboplatin, Paclitaxel for Injection","Strength 100 mg/4 mL, intravenous drip, recommended dose 300 mg, administered every 3 weeks (21 days) (Q3W)., the usage and dosage should be determined by the investigator, Strength 100 mg/4 mL, recommended dose 15 mg/kg body weight, administered every 3 weeks (15 mg/kg, Q3W), the usage and dosage should be determined by the investigator, the usage and dosage should be determined by the investigator",INTERVENTIONAL,"PHASE2, PHASE3",Phase II study Primary endpoints: Phase II study Primary endpoints: Phase II study Primary endpoints: Phase II study Primary endpoints: Phase II study Primary endpoints: Phase III study Primary endpoints:,Uterine Cervical Neoplasms,"PHASE2, PHASE3","recombinant humanized anti-pd-1 monoclonal antibody injection, cisplatin, bevacizumab injection, carboplatin, paclitaxel for injection",NOT_YET_RECRUITING,0
5303,Blaze Bioscience Inc.,INDUSTRY,SPONSOR,Study of Tozuleristide and the Canvas Imaging System in Pediatric Subjects With CNS Tumors Undergoing Surgery,"A Randomized, Blinded Study of Fluorescence Detection of Pediatric Primary Central Nervous System Tumors in Subjects Receiving Tozuleristide and Imaged With the Canvas System",COMPLETED,2018-11-26,CHILD ADULT,Pediatric Central Nervous System Tumor,OTHER,"tozuleristide, Canvas System","Tozuleristide will be administered at least 1 hour and no more than 36 hours prior to planned surgical excision of their tumor., All subjects enrolled in the study will have their tissue imaged with the Canvas System.",INTERVENTIONAL,"PHASE2, PHASE3",Sensitivity and specificity of tozuleristide fluorescence to detect tumor in equivocal (ambiguous) tissue during surgery when imaged with the Canvas system,Nervous System Neoplasms Central Nervous System Neoplasms,"PHASE2, PHASE3","tozuleristide, canvas system",COMPLETED,1
5325,Federation Francophone de Cancerologie Digestive,OTHER,SPONSOR,Chemoembolization of the Liver With or Without Sunitinib Malate in Treating Patients With Liver Cancer,"A Double-Blind, Randomized, Phase II/III Study Comparing the Use of Chemoembolization Combined With Sunitinib Against Chemoembolization Combined With a Placebo in Patients With Hepatocellular Carcinoma (SATURNE)",COMPLETED,2010-07,ADULT OLDER_ADULT,Liver Cancer,TREATMENT,"sunitinib malate, Placebo, transarterial chemoembolization","placebo 3cps/days 4 weeks over 6 during 1 year, placebo 3cps/days 4 weeks over 6 during 1 year, Chimioembolisation",INTERVENTIONAL,"PHASE2, PHASE3",Percentage of Patients With Occurrence of Severe Bleeding and/or Liver Failure,Liver Neoplasms,"PHASE2, PHASE3","sunitinib malate, placebo, transarterial chemoembolization",COMPLETED,1
5413,"University Hospital, Akershus",OTHER,PRINCIPAL_INVESTIGATOR,Testis CAB: Cabazitaxel as Salvage Treatment for Cisplatin-resistant Germ Cell Cancer,Phase 2 Study Cabazitaxel as Salvage Treatment for Cisplatin-resistant Germ Cell,TERMINATED,2015-06,ADULT OLDER_ADULT,Testicular Cancer,TREATMENT,cabazitaxel,cabazitaxel is given to patients with progressive testicular cancer after cisplatin-based chemotherapy,INTERVENTIONAL,PHASE2,Objective response rate,Testicular Neoplasms,PHASE2,cabazitaxel,COMPLETED,1
5588,Wake Forest University Health Sciences,OTHER,SPONSOR,Gemcitabine Plus Radiation Therapy or Combination Chemotherapy in Treating Patients With Non-small Cell Lung Cancer,Alternating Phase I/II Trials of Twice-Weekly Infusion Gemcitabine (2'2'-Difluoro-2'-Deoxycytidine) and Concurrent Thoracic Radiation Alone - Or Following 2 Cycles of Cisplatin/Gemcitabine Induction Chemotherapy for the Treatment of Stage IIIA/IIIB Non Small Cell Lung Cancer (NSCLC),COMPLETED,1998-01,CHILD ADULT OLDER_ADULT,Lung Cancer,TREATMENT,"cisplatin, gemcitabine hydrochloride, radiation therapy","Unknown, Unknown, Unknown",INTERVENTIONAL,"PHASE1, PHASE2",•Determine the maximum tolerated dose of twice-weekly gemcitabine when delivered concurrently with thoracic radiotherapy,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung","PHASE1, PHASE2","cisplatin, gemcitabine hydrochloride, radiation therapy",TERMINATED,0
5711,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",OTHER,SPONSOR,Application of Al18F-NOTA-FAPI PET/CT in Malignant Tumors Expressing Fibroblast-activated Proteins,Application of Al18F-NOTA-FAPI PET/CT in Malignant Tumors Expressing Fibroblast-activated Proteins,RECRUITING,2023-01-08,ADULT OLDER_ADULT,Malignancy,DIAGNOSTIC,Al18F-NOTA-FAPI,Al18F-NOTA-FAPI was injected into the patients before the PET/CT scans,INTERVENTIONAL,"PHASE2, PHASE3",Diagnostic value,Neoplasms,"PHASE2, PHASE3",al18f-nota-fapi,RECRUITING,0
5977,Kidney Cancer Research Bureau,OTHER,SPONSOR,Intrapleural Instillation of the Nivolumab in Cancer Patients With Pleural Effusion.,A Phase II Trial of Intrapleural Instillation of the Nivolumab in Cancer Patients With Pleural Effusion.,COMPLETED,2020-08-10,ADULT OLDER_ADULT,"Renal Cell Cancer Metastatic, Non-small Cell Lung Cancer Metastatic, Pleural Effusion, Malignant",TREATMENT,Nivolumab,40 mg of the nivolumab will be used intrapleurally (once).,INTERVENTIONAL,PHASE2,3-month recurrence-free survival,"Carcinoma, Renal Cell Neoplasms Pleural Effusion, Malignant Pleural Effusion",PHASE2,nivolumab,COMPLETED,1
5977,Kidney Cancer Research Bureau,OTHER,SPONSOR,Intrapleural Instillation of the Nivolumab in Cancer Patients With Pleural Effusion.,A Phase II Trial of Intrapleural Instillation of the Nivolumab in Cancer Patients With Pleural Effusion.,COMPLETED,2020-08-10,ADULT OLDER_ADULT,"Renal Cell Cancer Metastatic, Non-small Cell Lung Cancer Metastatic, Pleural Effusion, Malignant",TREATMENT,Nivolumab,40 mg of the nivolumab will be used intrapleurally (once).,INTERVENTIONAL,PHASE2,3-month recurrence-free survival,"Carcinoma, Renal Cell Neoplasms Pleural Effusion, Malignant Pleural Effusion",PHASE2,nivolumab,COMPLETED,1
5977,Kidney Cancer Research Bureau,OTHER,SPONSOR,Intrapleural Instillation of the Nivolumab in Cancer Patients With Pleural Effusion.,A Phase II Trial of Intrapleural Instillation of the Nivolumab in Cancer Patients With Pleural Effusion.,COMPLETED,2020-08-10,ADULT OLDER_ADULT,"Renal Cell Cancer Metastatic, Non-small Cell Lung Cancer Metastatic, Pleural Effusion, Malignant",TREATMENT,Nivolumab,40 mg of the nivolumab will be used intrapleurally (once).,INTERVENTIONAL,PHASE2,3-month recurrence-free survival,"Carcinoma, Renal Cell Neoplasms Pleural Effusion, Malignant Pleural Effusion",PHASE2,nivolumab,COMPLETED,1
6076,Abramson Cancer Center at Penn Medicine,OTHER,SPONSOR,Phase II Study of Pembrolizumab After Curative Intent Treatment for Oligometastatic Non-Small Cell Lung Cancer,Phase II Study of Pembrolizumab After Curative Intent Treatment for Oligometastatic Non-Small Cell Lung Cancer,COMPLETED,2015-01-21,ADULT OLDER_ADULT,Oligometastatic Non-small Cell Lung Cancer (NSCLC),TREATMENT,Pembrolizumab,Unknown,INTERVENTIONAL,PHASE2,Progression Free Survival (PFS),"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,pembrolizumab,RECRUITING,0
6120,University of Arkansas,OTHER,Unknown,Dexamethasone or Dexamethasone in Combination With Thalidomide as Salvage Therapy,"UARK 98-025, A Randomized Phase II Trial of Dexamethasone or Dexamethasone in Combination With Thalidomide as Salvage Therapy for Low-Risk Post Transplantation Relapse in Patients With Multiple Myeloma",COMPLETED,1998-06,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Thalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,To evaluate the effectiveness of dexamethasone (dex) alone as compared to dex in combination with thalidomide in low risk patients relapsing after autologous transplantation.,"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"thalidomide, dexamethasone",COMPLETED,1
6120,University of Arkansas,OTHER,Unknown,Dexamethasone or Dexamethasone in Combination With Thalidomide as Salvage Therapy,"UARK 98-025, A Randomized Phase II Trial of Dexamethasone or Dexamethasone in Combination With Thalidomide as Salvage Therapy for Low-Risk Post Transplantation Relapse in Patients With Multiple Myeloma",COMPLETED,1998-06,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Thalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,To evaluate the effectiveness of dexamethasone (dex) alone as compared to dex in combination with thalidomide in low risk patients relapsing after autologous transplantation.,"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"thalidomide, dexamethasone",COMPLETED,1
6325,Stanford University,OTHER,SPONSOR,Evaluation of Cyberknife Precision Radiation Delivery System for Unresectable Malignant Lung Cancer,Evaluation of the Cyberknife Precision Radiation Delivery System for Unresectable Malignant Lung Tumors - A Phase I/II Study,COMPLETED,2000-03,ADULT OLDER_ADULT,Lung Cancer,TREATMENT,Stereotactic radiosurgery,Unknown,INTERVENTIONAL,"PHASE1, PHASE2",Maximal tolerated dose (MTD) that can be delivered with stereotactic radiosurgery in patients with inoperable malignant lung tumors Efficacy of radiosurgical ablation of lung tumors in terms of symptoms and radiographic responses,Lung Neoplasms,"PHASE1, PHASE2",stereotactic radiosurgery,ACTIVE_NOT_RECRUITING,0
